SCAPS 3.3.11 ELIS-UGent: Version scaps3311.exe, dated 07-10-2023, 11:15:54
Simulation of I-V curves
Single shot simulation #	1
Calculation started : 	18-11-2023 at 21:43:28

problem definition file :	c:\Program Files (x86)\Scaps3311\def\CdTeSe.def
last saved: 	18-11-2023 at 18:11:51

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Program Files (x86)\Scaps3311\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 14:59:48
Neutral density filter: ND	  0.0000
Transmission of ND filter:	  1.0000e+00
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	  100.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)
   0.350000	   -2.52562025e+01	        1.56821083e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.03098930e-02	    6.65111903e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.360000	   -2.52561547e+01	        1.56868857e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.03206549e-02	    6.65482019e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.370000	   -2.52561047e+01	        1.56918855e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.03328593e-02	    6.65859953e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.380000	   -2.52560514e+01	        1.56972207e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.03467442e-02	    6.66254625e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.390000	   -2.52559946e+01	        1.57028991e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.03626106e-02	    6.66663809e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.400000	   -2.52559339e+01	        1.57089721e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.03808053e-02	    6.67089158e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.410000	   -2.52558686e+01	        1.57154990e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.04017328e-02	    6.67532568e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.420000	   -2.52557981e+01	        1.57225478e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.04258620e-02	    6.67996155e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.430000	   -2.52557216e+01	        1.57301958e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.04537313e-02	    6.68482263e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.440000	   -2.52556383e+01	        1.57385300e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.04859529e-02	    6.68993470e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
