bp 1:	 1.000e+00	 1.000e+00	 1.000e+00	 1.000e+00	 1.000e+00	 3.750e+00	 3.750e+00	 3.750e+00	 3.750e+00	 3.750e+00	 6.500e+00	 6.500e+00	 6.500e+00	 6.500e+00	 6.500e+00	 9.250e+00	 9.250e+00	 9.250e+00	 9.250e+00	 9.250e+00	 1.200e+01	 1.200e+01	 1.200e+01	 1.200e+01	 1.200e+01
bp 2:	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02
19	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03	  3.29312022e-03
20	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03	  3.75231132e-03
21	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03	  4.28334671e-03
22	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03	  4.89876963e-03
23	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03	  5.61299356e-03
24	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03	  6.44247097e-03
25	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03	  7.40584167e-03
26	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03	  8.52404787e-03
27	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03	  9.82040043e-03
28	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02	  1.13205793e-02
